timestamp,sender,receiver,message_type,message
2026-07-21 20:48:58,Murali,ALL,BROADCAST,hi
2026-07-21 20:49:01,lucky,ALL,BROADCAST,hi
2026-07-21 20:50:57,pavan,ALL,BROADCAST,hi
2026-07-21 20:51:03,lucky,ALL,BROADCAST,hi
2026-07-21 20:51:40,lucky,ALL,BROADCAST,hi
2026-07-21 20:51:45,pavan,ALL,BROADCAST,hi
2026-07-21 20:52:00,pavan,murali,PRIVATE,1234
2026-07-21 21:02:01,swaroop,ALL,BROADCAST,hi
2026-07-21 21:03:08,lucky,ALL,BROADCAST,hello
2026-07-21 21:03:15,swaroop,ALL,BROADCAST,hi kmurali
2026-07-21 21:03:29,swaroop,lucky,PRIVATE,hi ra
2026-07-21 21:12:39,lucky,ALL,BROADCAST,hello all
2026-07-21 21:12:48,pavan,ALL,BROADCAST,hello lucky
2026-07-21 21:12:57,swaroop,ALL,BROADCAST,hello ALL
2026-07-21 21:13:02,Murali,ALL,BROADCAST,HELLO
2026-07-21 21:13:07,vikash,ALL,BROADCAST,HELLO
2026-07-21 21:14:26,swaroop,Murali,PRIVATE,hi ra
2026-07-21 21:20:42,swaroop,ALL,BROADCAST,hello murali
2026-07-21 21:20:46,swaroop,ALL,BROADCAST,hi all
2026-07-21 21:20:56,vikash,ALL,BROADCAST,hello
2026-07-21 21:21:01,Murali,ALL,BROADCAST,hello
2026-07-21 21:21:24,Murali,swaroop,PRIVATE,hi
2026-07-21 21:22:21,swaroop,ALL,BROADCAST,hi
2026-07-21 21:22:30,pavan,ALL,BROADCAST,good niht
2026-07-21 21:23:11,swaroop,ALL,BROADCAST,hi
2026-07-21 21:23:18,lucky,ALL,BROADCAST,hi i am lucky
2026-07-21 21:23:31,Murali,ALL,BROADCAST,hi lucky
