Timestamp,Connected Clients,Delay(ms),Throughput(msg/sec),CPU Usage(%),Memory Usage(MB)
2026-07-21 21:20:42,5,84966.46,0.01,19.4,16.57
2026-07-21 21:20:46,5,44661.54,0.02,63.6,16.58
2026-07-21 21:20:56,5,33109.33,0.03,28.6,16.61
2026-07-21 21:21:01,5,26096.03,0.04,58.8,16.64
2026-07-21 21:21:24,5,25338.84,0.04,44.4,16.64
2026-07-21 21:22:21,5,30615.77,0.03,66.7,16.65
2026-07-21 21:22:30,5,27631.47,0.04,18.5,16.67
2026-07-21 21:23:11,5,29237.81,0.03,43.7,16.68
2026-07-21 21:23:18,5,26773.69,0.04,17.2,16.7
2026-07-21 21:23:31,5,25420.36,0.04,56.3,16.71
